datetime,open,high,low,close,volume
2015-10-14 01:00:00.000000,653.21,659.39,648.85,651.16,1415468
2015-10-15 01:00:00.000000,654.66,663.13,654.46,661.74,1885737
2015-10-16 01:00:00.000000,664.11,664.97,657.2,662.2,1611128
2015-10-19 01:00:00.000000,661.18,666.82,659.58,666.1,1477340
2015-10-20 01:00:00.000000,664.04,664.7197,644.195,650.28,2498215
2015-10-21 01:00:00.000000,654.15,655.87,641.73,642.61,1794172
2015-10-22 01:00:00.000000,646.7,657.8,644.01,651.79,4070954
2015-10-23 01:00:00.000000,727.5,730.0,701.5,702.0,6653923
2015-10-26 01:00:00.000000,701.55,719.15,701.26,712.78,2716615
2015-10-27 01:00:00.000000,707.38,713.62,704.55,708.49,2245796
2015-10-28 01:00:00.000000,707.33,712.98,703.08,712.95,2178917
2015-10-29 01:00:00.000000,710.5,718.26,710.01,716.92,1455965
2015-10-30 01:00:00.000000,715.73,718.0,710.05,710.81,1908774
2015-11-02 01:00:00.000000,711.06,721.62,705.85,721.11,1886250
2015-11-03 01:00:00.000000,718.86,724.65,714.72,722.16,1565379
2015-11-04 01:00:00.000000,722.0,733.1,721.9,728.11,1706700
2015-11-05 01:00:00.000000,729.47,739.48,729.47,731.25,1861550
2015-11-06 01:00:00.000000,731.5,735.41,727.01,733.76,1511599
2015-11-09 01:00:00.000000,730.2,734.71,719.43,724.89,2069807
2015-11-10 01:00:00.000000,724.4,730.59,718.5001,728.32,1607994
2015-11-11 01:00:00.000000,732.46,741.0,730.23,735.4,1366995
2015-11-12 01:00:00.000000,731.0,737.8,728.645,731.23,1837154
2015-11-13 01:00:00.000000,729.17,731.15,716.73,717.0,2075504
2015-11-16 01:00:00.000000,715.6,729.49,711.33,728.96,1905893
2015-11-17 01:00:00.000000,729.29,731.845,723.027,725.3,1510903
2015-11-18 01:00:00.000000,727.58,741.41,727.0,740.0,1684259
2015-11-19 01:00:00.000000,738.74,742.0,737.43,738.41,1327879
2015-11-20 01:00:00.000000,746.53,757.92,743.0,756.6,2213284
2015-11-23 01:00:00.000000,757.45,762.7075,751.82,755.98,1415385
2015-11-24 01:00:00.000000,752.0,755.279,737.63,748.28,2334197
2015-11-25 01:00:00.000000,748.14,752.0,746.06,748.15,1122224
2015-11-27 01:00:00.000000,748.46,753.41,747.49,750.26,838528
2015-11-30 01:00:00.000000,748.81,754.93,741.27,742.6,2097624
2015-12-01 01:00:00.000000,747.11,768.95,746.7,767.04,2134621
2015-12-02 01:00:00.000000,768.9,775.955,758.96,762.38,2230373
2015-12-03 01:00:00.000000,766.01,768.995,745.63,752.54,2590641
2015-12-04 01:00:00.000000,753.1,768.49,750.0,766.81,2757283
2015-12-07 01:00:00.000000,767.77,768.73,755.09,763.25,1812314
2015-12-08 01:00:00.000000,757.89,764.8,754.2,762.37,1829475
2015-12-09 01:00:00.000000,759.17,764.23,737.001,751.61,2699990
2015-12-10 01:00:00.000000,752.85,755.85,743.83,749.46,1988380
2015-12-11 01:00:00.000000,741.16,745.71,736.75,738.87,2224410
2015-12-14 01:00:00.000000,741.79,748.73,724.17,747.77,2421236
2015-12-15 01:00:00.000000,753.0,758.08,743.01,743.4,2666229
2015-12-16 01:00:00.000000,750.0,760.59,739.435,758.09,1993251
2015-12-17 01:00:00.000000,762.42,762.68,749.0,749.43,1553418
2015-12-18 01:00:00.000000,746.51,754.13,738.15,739.31,3148743
2015-12-21 01:00:00.000000,746.13,750.0,740.0,747.77,1525703
2015-12-22 01:00:00.000000,751.65,754.85,745.53,750.0,1365520
2015-12-23 01:00:00.000000,753.47,754.21,744.0,750.31,1566726
2015-12-24 01:00:00.000000,749.55,751.35,746.62,748.4,527223
2015-12-28 01:00:00.000000,752.92,762.99,749.52,762.51,1515716
2015-12-29 01:00:00.000000,766.69,779.98,766.43,776.6,1765012
2015-12-30 01:00:00.000000,776.6,777.6,766.9,771.0,1293521
2015-12-31 01:00:00.000000,769.5,769.5,758.34,758.88,1500923
2016-01-04 01:00:00.000000,743.0,744.06,731.2577,741.84,3272776
2016-01-05 01:00:00.000000,746.45,752.0,738.64,742.58,1950691
2016-01-06 01:00:00.000000,730.0,747.18,728.92,743.62,1947034
2016-01-07 01:00:00.000000,730.31,738.5,719.06,726.39,2963741
2016-01-08 01:00:00.000000,731.45,733.23,713.0,714.47,2450857
2016-01-11 01:00:00.000000,716.61,718.855,703.54,716.03,2090621
2016-01-12 01:00:00.000000,721.68,728.75,717.3165,726.07,2024509
2016-01-13 01:00:00.000000,730.85,734.74,698.61,700.56,2501730
2016-01-14 01:00:00.000000,705.38,721.925,689.1,714.72,2225768
2016-01-15 01:00:00.000000,692.29,706.74,685.37,694.45,3608109
2016-01-19 01:00:00.000000,703.3,709.98,693.4101,701.79,2268078
2016-01-20 01:00:00.000000,688.61,706.85,673.26,698.45,3444962
2016-01-21 01:00:00.000000,702.18,719.19,694.46,706.59,2412211
2016-01-22 01:00:00.000000,723.6,728.13,720.121,725.25,2011797
2016-01-25 01:00:00.000000,723.58,729.68,710.01,711.67,1711716
2016-01-26 01:00:00.000000,713.85,718.28,706.48,713.04,1331691
2016-01-27 01:00:00.000000,713.67,718.235,694.39,699.99,2194227
2016-01-28 01:00:00.000000,722.22,733.69,712.35,730.96,2676397
2016-01-29 01:00:00.000000,731.53,744.9899,726.8,742.95,3474319
2016-02-01 01:00:00.000000,750.46,757.86,743.27,752.0,5139157
2016-02-02 01:00:00.000000,784.5,789.8699,764.65,764.65,6348126
2016-02-03 01:00:00.000000,770.22,774.5,720.5,726.95,6171019
2016-02-04 01:00:00.000000,722.81,727.0,701.86,708.01,5168709
2016-02-05 01:00:00.000000,703.87,703.99,680.15,683.57,5105725
2016-02-08 01:00:00.000000,667.85,684.03,663.06,682.74,4247355
2016-02-09 01:00:00.000000,672.32,699.9,668.77,678.11,3608914
2016-02-10 01:00:00.000000,686.86,701.31,682.13,684.12,2638007
2016-02-11 01:00:00.000000,675.0,689.35,668.8675,683.11,3024043
2016-02-12 01:00:00.000000,690.26,693.75,678.6,682.4,2141373
2016-02-16 01:00:00.000000,692.98,698.0,685.05,691.0,2520021
2016-02-17 01:00:00.000000,699.0,709.75,691.38,708.4,2492634
