datetime,open,high,low,close,volume
2015-10-14 01:00:00.000000,95.21,95.96,94.12,94.53,8881871
2015-10-15 01:00:00.000000,95.0,97.35,94.86,97.15,9561891
2015-10-16 01:00:00.000000,97.87,98.31,97.4,98.24,9495256
2015-10-19 01:00:00.000000,98.05,98.2,97.31,97.94,8725430
2015-10-20 01:00:00.000000,97.95,98.25,97.31,97.59,6041789
2015-10-21 01:00:00.000000,97.64,98.22,97.07,97.63,7093295
2015-10-22 01:00:00.000000,97.85,99.81,97.13,99.53,9887929
2015-10-23 01:00:00.000000,99.88,100.88,99.53,100.31,9178873
2015-10-26 01:00:00.000000,100.05,100.28,99.49,99.94,7561604
2015-10-27 01:00:00.000000,99.92,100.9,99.7,100.19,8883164
2015-10-28 01:00:00.000000,100.45,100.48,99.5,100.48,7256317
2015-10-29 01:00:00.000000,100.47,101.53,100.12,101.37,6340702
2015-10-30 01:00:00.000000,101.53,102.12,101.01,101.03,10520339
2015-11-02 01:00:00.000000,101.18,102.34,100.84,102.17,6297939
2015-11-03 01:00:00.000000,101.84,102.3,101.11,101.96,6229192
2015-11-04 01:00:00.000000,101.9,102.39,101.69,101.94,5592309
2015-11-05 01:00:00.000000,102.25,102.49,101.42,102.33,6545590
2015-11-06 01:00:00.000000,101.57,101.92,100.86,101.92,6221110
2015-11-09 01:00:00.000000,101.39,101.59,100.55,100.84,6625850
2015-11-10 01:00:00.000000,101.0,101.76,100.68,101.45,5114204
2015-11-11 01:00:00.000000,101.78,102.355,101.5,101.86,6284749
2015-11-12 01:00:00.000000,101.14,101.605,100.22,100.27,6918671
2015-11-13 01:00:00.000000,100.04,100.94,99.74,99.88,8517537
2015-11-16 01:00:00.000000,100.38,101.29,100.04,101.22,5755804
2015-11-17 01:00:00.000000,101.34,101.71,100.88,101.5,5124025
2015-11-18 01:00:00.000000,101.53,102.8,101.31,102.67,7148429
2015-11-19 01:00:00.000000,102.66,102.68,102.06,102.49,5164480
2015-11-20 01:00:00.000000,102.49,102.8,102.2,102.48,7671517
2015-11-23 01:00:00.000000,102.39,103.0,102.19,102.77,6730605
