datetime,open,high,low,close,volume
2015-10-14 01:00:00.000000,74.84,75.26,73.72,74.2,7568289
2015-10-15 01:00:00.000000,74.96,75.41,74.58,75.34,6856217
2015-10-16 01:00:00.000000,75.33,76.54,74.79,76.0,9117387
2015-10-19 01:00:00.000000,75.93,77.325,75.93,76.99,9952627
2015-10-20 01:00:00.000000,76.64,76.89,75.93,76.28,8148823
2015-10-21 01:00:00.000000,76.94,76.94,75.31,75.46,7323764
2015-10-22 01:00:00.000000,75.89,76.85,75.64,76.42,9093433
2015-10-23 01:00:00.000000,77.46,77.63,74.95,77.07,11971306
2015-10-26 01:00:00.000000,78.08,78.31,77.09,78.18,8019362
2015-10-27 01:00:00.000000,78.03,78.18,77.055,77.52,9527422
2015-10-28 01:00:00.000000,77.82,78.89,77.44,78.87,10850221
2015-10-29 01:00:00.000000,78.59,78.71,77.93,78.51,7648608
2015-10-30 01:00:00.000000,78.72,78.81,77.56,77.58,11186481
2015-11-02 01:00:00.000000,75.19,76.21,74.53,75.22,29965980
2015-11-03 01:00:00.000000,75.13,78.58,74.81,77.9,18899902
2015-11-04 01:00:00.000000,78.37,78.83,77.9,78.35,8640849
2015-11-05 01:00:00.000000,78.42,79.71,78.42,79.26,9392585
2015-11-06 01:00:00.000000,79.57,79.57,78.32,78.75,8221596
2015-11-09 01:00:00.000000,78.4,78.4,77.29,78.04,10157285
2015-11-10 01:00:00.000000,77.65,79.53,77.61,79.48,8440283
2015-11-11 01:00:00.000000,79.85,80.25,79.17,79.18,8024387
2015-11-12 01:00:00.000000,78.86,79.1495,78.14,78.31,8939839
2015-11-13 01:00:00.000000,78.02,78.97,77.77,78.11,9913239
2015-11-16 01:00:00.000000,77.79,78.91,77.58,78.9,7804955
2015-11-17 01:00:00.000000,78.94,79.275,78.47,78.83,6942598
2015-11-18 01:00:00.000000,78.96,80.5,78.74,80.46,7212397
2015-11-19 01:00:00.000000,80.6,81.01,79.85,80.15,6082166
2015-11-20 01:00:00.000000,80.59,81.0,79.98,80.19,6764313
2015-11-23 01:00:00.000000,80.59,80.78,79.56,80.11,5910579
2015-11-24 01:00:00.000000,79.23,80.2,79.21,79.79,6040756
2015-11-25 01:00:00.000000,79.78,80.09,79.56,79.56,4268669
2015-11-27 01:00:00.000000,79.64,80.15,79.61,79.84,3139602
2015-11-30 01:00:00.000000,80.06,80.13,78.96,79.01,8874643
2015-12-01 01:00:00.000000,79.53,79.93,78.765,79.91,6702065
2015-12-02 01:00:00.000000,79.83,80.15,78.97,79.04,7309979
2015-12-03 01:00:00.000000,79.36,79.77,78.08,78.29,8689600
2015-12-04 01:00:00.000000,78.58,80.4,78.45,80.4,9944571
2015-12-07 01:00:00.000000,80.13,80.49,79.07,79.55,15262382
2015-12-08 01:00:00.000000,78.98,79.67,78.36,79.07,11343973
2015-12-09 01:00:00.000000,78.83,79.75,77.3975,77.88,15361478
2015-12-10 01:00:00.000000,77.91,79.11,77.625,78.12,8717058
2015-12-11 01:00:00.000000,77.14,77.14,75.52,76.11,15625801
2015-12-14 01:00:00.000000,76.2,77.33,75.58,76.87,10360978
2015-12-15 01:00:00.000000,78.37,79.45,78.21,78.62,11355315
2015-12-16 01:00:00.000000,79.45,79.98,78.15,79.86,10497510
2015-12-17 01:00:00.000000,79.98,80.28,78.63,78.69,7555339
2015-12-18 01:00:00.000000,78.04,78.19,76.28,76.32,16271171
2015-12-21 01:00:00.000000,76.9,77.36,76.4,77.17,8442145
2015-12-22 01:00:00.000000,77.43,77.4899,76.66,77.38,5699106
2015-12-23 01:00:00.000000,78.08,78.6639,77.56,78.56,6335907
2015-12-24 01:00:00.000000,78.35,78.71,78.18,78.26,2188783
2015-12-28 01:00:00.000000,78.04,78.65,77.82,78.53,3680933
2015-12-29 01:00:00.000000,79.0,79.39,78.9,79.21,4627142
2015-12-30 01:00:00.000000,79.07,79.19,78.255,78.35,4230445
2015-12-31 01:00:00.000000,78.24,78.8,77.55,77.55,6538335
2016-01-04 01:00:00.000000,76.06,76.38,75.01,75.7,13476760
2016-01-05 01:00:00.000000,76.25,76.51,75.54,76.27,8972650
2016-01-06 01:00:00.000000,75.0,75.85,74.85,75.27,16092022
2016-01-07 01:00:00.000000,73.76,75.09,73.35,73.79,12470822
2016-01-08 01:00:00.000000,74.06,74.51,72.75,72.88,9977557
2016-01-11 01:00:00.000000,73.11,74.08,72.66,73.92,13069486
2016-01-12 01:00:00.000000,74.52,75.0,74.02,74.76,10236921
2016-01-13 01:00:00.000000,75.27,75.39,72.99,73.1,12659586
2016-01-14 01:00:00.000000,73.15,74.52,72.66,73.8,10426162
2016-01-15 01:00:00.000000,71.94,72.95,70.66,71.83,18470454
2016-01-19 01:00:00.000000,72.94,73.02,70.66,71.39,16009579
2016-01-20 01:00:00.000000,69.96,71.41,69.04,70.68,16586004
2016-01-21 01:00:00.000000,70.72,72.33,70.1,71.56,11931171
2016-01-22 01:00:00.000000,72.67,73.18,72.13,72.7,8652558
2016-01-25 01:00:00.000000,72.76,72.91,71.58,71.74,9126184
2016-01-26 01:00:00.000000,72.18,72.27,71.55,71.88,7500186
2016-01-27 01:00:00.000000,71.98,72.48,70.58,70.91,9020505
2016-01-28 01:00:00.000000,71.42,71.85,69.33,69.33,15295612
2016-01-29 01:00:00.000000,70.43,74.5,68.76,74.49,40427768
2016-02-01 01:00:00.000000,74.08,74.78,73.25,74.38,12623493
2016-02-02 01:00:00.000000,73.5,74.2061,73.13,73.4,9572667
2016-02-03 01:00:00.000000,73.76,74.625,72.43,74.38,9941917
2016-02-04 01:00:00.000000,74.1,74.63,72.755,73.68,14735704
2016-02-05 01:00:00.000000,73.56,73.61,70.55,71.54,12939383
2016-02-08 01:00:00.000000,69.95,70.04,66.3,67.77,30542608
2016-02-09 01:00:00.000000,66.39,69.48,66.12,68.33,14882767
2016-02-10 01:00:00.000000,69.14,71.03,69.07,70.15,11369543
2016-02-11 01:00:00.000000,67.79,69.07,67.425,68.47,13962057
2016-02-12 01:00:00.000000,69.44,70.47,69.12,70.42,8710244
2016-02-16 01:00:00.000000,71.41,71.75,70.395,71.1,8780670
2016-02-17 01:00:00.000000,71.73,72.12,71.3,72.03,8494095
2016-02-18 01:00:00.000000,71.89,72.25,71.0208,71.24,6938144
2016-02-19 01:00:00.000000,71.03,71.72,70.3,71.53,7750898
2016-02-22 01:00:00.000000,72.3,73.19,72.1,73.06,7481531
2016-02-23 01:00:00.000000,72.95,73.1224,71.99,72.15,6177031
2016-02-24 01:00:00.000000,71.25,72.195,70.38,71.85,7728583
2016-02-25 01:00:00.000000,71.96,73.34,71.935,73.27,6840918
2016-02-26 01:00:00.000000,73.74,73.91,72.69,72.73,6714095
2016-02-29 01:00:00.000000,72.86,73.895,72.39,72.39,7786082
2016-03-01 01:00:00.000000,72.99,74.64,72.9,74.64,8705314
2016-03-02 01:00:00.000000,74.5,74.6,73.66,74.3,5739136
2016-03-03 01:00:00.000000,74.48,74.5,73.36,73.91,6588268
2016-03-04 01:00:00.000000,74.22,74.25,73.61,73.9,9475258
2016-03-07 01:00:00.000000,73.39,73.45,71.35,71.94,16671856
2016-03-08 01:00:00.000000,71.5,71.52,70.51,70.62,12394402
2016-03-09 01:00:00.000000,71.0,71.082,69.9,70.68,9291563
2016-03-10 01:00:00.000000,71.14,71.399,69.58,70.22,10135051
2016-03-11 01:00:00.000000,71.15,72.009,70.68,71.63,9466361
2016-03-14 01:00:00.000000,71.6,71.72,70.95,71.49,7916520
2016-03-15 01:00:00.000000,71.18,71.91,70.66,71.91,6442778
2016-03-16 01:00:00.000000,71.68,72.83,71.51,72.37,7561777
2016-03-17 01:00:00.000000,72.28,73.67,72.17,73.14,7411733
2016-03-18 01:00:00.000000,73.5,74.1,73.13,73.78,15026196
2016-03-21 01:00:00.000000,73.58,73.94,73.15,73.77,7397407
2016-03-22 01:00:00.000000,73.24,73.65,72.93,72.96,6796807
2016-03-23 01:00:00.000000,72.95,74.1693,72.77,73.91,7287120
2016-03-24 01:00:00.000000,73.65,74.16,73.4101,74.14,6303855
2016-03-28 01:00:00.000000,74.14,74.27,73.72,74.08,7283310
2016-03-29 01:00:00.000000,74.02,75.59,73.92,75.38,10541504
2016-03-30 01:00:00.000000,75.9,77.0,75.84,76.78,9691857
2016-03-31 01:00:00.000000,76.62,76.92,75.95,76.48,7490770
2016-04-01 01:00:00.000000,76.25,78.25,75.8,77.59,10183430
2016-04-04 01:00:00.000000,77.97,78.3099,77.53,77.83,6905791
2016-04-05 01:00:00.000000,77.14,77.47,76.585,76.97,6012003
2016-04-06 01:00:00.000000,77.08,78.28,77.0,78.21,6220442
2016-04-07 01:00:00.000000,77.71,77.98,77.19,77.58,7542091
2016-04-08 01:00:00.000000,78.08,78.62,77.812,78.03,5327470
2016-04-11 01:00:00.000000,78.36,78.78,77.77,77.82,5957176
2016-04-12 01:00:00.000000,77.72,78.55,77.65,78.52,5963021
2016-04-13 01:00:00.000000,79.03,79.93,78.91,79.71,9187302
2016-04-14 01:00:00.000000,79.76,80.67,79.31,80.33,11470291
2016-04-15 01:00:00.000000,80.25,80.69,79.9,80.08,7186655
2016-04-18 01:00:00.000000,80.2,81.55,79.83,81.45,7761240
2016-04-19 01:00:00.000000,81.5,81.73,80.37,80.75,8324721
2016-04-20 01:00:00.000000,80.88,81.64,80.55,81.15,8521341
